producer_id,npn,first_name,last_name,email_address,status,agency_id,agency_name,agency_parent_id,lic_state,lic_number,lic_class,lic_status,lic_eff,lic_exp,tax_id,updated_ts
AGT_39005,3574406,Hellen,Schmidt,hellen.schmidt@kingsbarn.com,ACTIVE,AGY_7004,Kingsbarn Group,,NY,LIC-92219,NON_RESIDENT,ACTIVE,2026-08-12,2028-08-12,215-41-5555,2026-09-10T10:01:00Z
AGT_39005,3574406,Hellen,Schmidt,hellen.schmidt@kingsbarn.com,ACTIVE,AGY_7004,Kingsbarn Group,,IL,LIC-80210,NON_RESIDENT,ACTIVE,2026-11-27,2028-11-27,215-41-5555,2026-09-10T10:01:00Z
AGT_40010,1804357,Ezekiel,Dickens,ezekiel.dickens9@redwood.com,ACTIVE,AGY_7111,Redwood Point Underwriters,AGY_7002,GA,LIC-17638,RESIDENT,ACTIVE,2025-10-06,2027-10-06,304-23-8601,2026-09-10T08:04:00Z
AGT_40010,1804357,Ezekiel,Dickens,ezekiel.dickens9@redwood.com,ACTIVE,AGY_7111,Redwood Point Underwriters,AGY_7002,AZ,LIC-78787,NON_RESIDENT,ACTIVE,2026-03-06,2028-03-06,304-23-8601,2026-09-10T08:04:00Z
AGT_40014,7910013,Dejah,Stanton,dejah.stanton68@mosswood.com,ACTIVE,AGY_7142,Mosswood Insurance,AGY_7001,NY,LIC-13793,RESIDENT,ACTIVE,2025-12-19,2027-12-19,129-75-9194,2026-09-10T11:38:00Z
AGT_40014,7910013,Dejah,Stanton,dejah.stanton68@mosswood.com,ACTIVE,AGY_7142,Mosswood Insurance,AGY_7001,GA,LIC-79656,RESIDENT,ACTIVE,2025-07-25,2027-07-25,129-75-9194,2026-09-10T11:38:00Z
AGT_40018,2885104,Tyson,Monahan,tyson.monahan95@ambleside.com,ACTIVE,AGY_7155,Ambleside Insurance Services,AGY_7006,OH,LIC-93841,SURPLUS_LINES,ACTIVE,2024-05-22,2026-05-22,347-63-9382,2026-09-10T20:45:00Z
AGT_40018,2885104,Tyson,Monahan,tyson.monahan95@ambleside.com,ACTIVE,AGY_7155,Ambleside Insurance Services,AGY_7006,NY,LIC-97076,SURPLUS_LINES,ACTIVE,2026-09-05,2028-09-05,347-63-9382,2026-09-10T20:45:00Z
AGT_40032,7108158,Stacey,Swift,stacey.swift2@saltmarsh.com,ACTIVE,AGY_7148,Saltmarsh Insurance Services,AGY_7007,FL,LIC-74099,RESIDENT,ACTIVE,2026-09-11,2028-09-11,846-54-7858,2026-09-10T14:21:00Z
AGT_40032,7108158,Stacey,Swift,stacey.swift2@saltmarsh.com,ACTIVE,AGY_7148,Saltmarsh Insurance Services,AGY_7007,MI,LIC-67973,RESIDENT,ACTIVE,2024-11-09,2026-11-09,846-54-7858,2026-09-10T14:21:00Z
AGT_40036,8220822,Dora,Turner,dora.turner92@everly.com,ACTIVE,AGY_7134,Everly Insurance Services,AGY_7001,IL,LIC-46496,RESIDENT,ACTIVE,2026-02-01,2028-02-01,804-69-3794,2026-09-10T22:29:00Z
AGT_40036,8220822,Dora,Turner,dora.turner92@everly.com,ACTIVE,AGY_7134,Everly Insurance Services,AGY_7001,NY,LIC-48171,RESIDENT,ACTIVE,2025-03-20,2027-03-20,804-69-3794,2026-09-10T22:29:00Z
AGT_40037,7854038,Shaniya,Luettgen,shaniya.luettgen86@ravenswood.com,ACTIVE,AGY_7147,Ravenswood Agency,AGY_7006,OH,LIC-29946,RESIDENT,ACTIVE,2024-03-09,2026-03-09,161-33-8561,2026-09-10T17:36:00Z
AGT_40037,7854038,Shaniya,Luettgen,shaniya.luettgen86@ravenswood.com,ACTIVE,AGY_7147,Ravenswood Agency,AGY_7006,CA,LIC-46178,SURPLUS_LINES,ACTIVE,2026-07-13,2028-07-13,161-33-8561,2026-09-10T17:36:00Z
AGT_40038,4128325,Polly,Little-Braun,polly.littlebraun37@umberfield.com,active,AGY_7150,Umberfield Assurance,AGY_7001,PA,LIC-59260,RESIDENT,EXPIRED,2021-06-04,2023-06-04,282-74-1812,2026-09-10T10:55:00Z
AGT_40038,4128325,Polly,Little-Braun,polly.littlebraun37@umberfield.com,active,AGY_7150,Umberfield Assurance,AGY_7001,OH,LIC-56819,NON_RESIDENT,ACTIVE,2025-03-20,2027-03-20,282-74-1812,2026-09-10T10:55:00Z
AGT_40043,1890112,Maverick,Weber,maverick.weber41@granite.com,ACTIVE,AGY_7117,Granite Peak Assurance,AGY_7000,FL,LIC-88735,RESIDENT,ACTIVE,2026-06-10,2028-06-10,728-67-2574,2026-09-10T15:55:00Z
AGT_40043,1890112,Maverick,Weber,maverick.weber41@granite.com,ACTIVE,AGY_7117,Granite Peak Assurance,AGY_7000,CA,LIC-44744,RESIDENT,ACTIVE,2026-08-04,2028-08-04,728-67-2574,2026-09-10T15:55:00Z
AGT_40046,5460734,Carroll,Murray,carroll.murray23@premier.com,ACTIVE,AGY_7101,Premier Insurance,AGY_7000,MI,LIC-53201,RESIDENT,ACTIVE,2024-01-24,2026-01-24,299-81-9070,2026-09-10T20:24:00Z
AGT_40046,5460734,Carroll,Murray,carroll.murray23@premier.com,ACTIVE,AGY_7101,Premier Insurance,AGY_7000,NY,LIC-92970,RESIDENT,ACTIVE,2024-06-10,2026-06-10,299-81-9070,2026-09-10T20:24:00Z
AGT_40053,1484798,Eloise,Roob,eloise.roob44@copperfield.com,ACTIVE,AGY_7113,Copperfield Assurance,AGY_7004,AZ,LIC-71781,RESIDENT,ACTIVE,2025-01-26,2027-01-26,200-88-5818,2026-09-10T20:16:00Z
AGT_40053,1484798,Eloise,Roob,eloise.roob44@copperfield.com,ACTIVE,AGY_7113,Copperfield Assurance,AGY_7004,GA,LIC-27767,NON_RESIDENT,ACTIVE,2025-05-16,2027-05-16,200-88-5818,2026-09-10T20:16:00Z
AGT_40054,1316722,Wilhelm,Pagac,wilhelm.pagac41@pembroke.com,A,AGY_7145,Pembroke Insurance,AGY_7004,IL,LIC-20387,NON_RESIDENT,ACTIVE,2026-04-19,2028-04-19,744-31-7067,2026-09-10T18:19:00Z
AGT_40054,1316722,Wilhelm,Pagac,wilhelm.pagac41@pembroke.com,A,AGY_7145,Pembroke Insurance,AGY_7004,CO,LIC-45855,RESIDENT,ACTIVE,2026-03-28,2028-03-28,744-31-7067,2026-09-10T18:19:00Z
AGT_40057,7589599,Danielle,Johnson,danielle.johnson62@nightingale.com,ACTIVE,AGY_7143,Nightingale Insurance Services,AGY_7002,WA,LIC-94780,SURPLUS_LINES,ACTIVE,2026-07-24,2028-07-24,394-23-1407,2026-09-10T18:56:00Z
AGT_40057,7589599,Danielle,Johnson,danielle.johnson62@nightingale.com,ACTIVE,AGY_7143,Nightingale Insurance Services,AGY_7002,CO,LIC-37781,RESIDENT,ACTIVE,2024-03-14,2026-03-14,394-23-1407,2026-09-10T18:56:00Z
AGT_40059,1646841,Kaya,Kuphal,kaya.kuphal45@yarrow.com,ACTIVE,AGY_7153,Yarrow Risk Partners,AGY_7004,FL,LIC-36154,SURPLUS_LINES,ACTIVE,2026-08-25,2028-08-25,439-21-1394,2026-09-10T08:07:00Z
AGT_40059,1646841,Kaya,Kuphal,kaya.kuphal45@yarrow.com,ACTIVE,AGY_7153,Yarrow Risk Partners,AGY_7004,NC,LIC-62362,RESIDENT,ACTIVE,2026-08-13,2028-08-13,439-21-1394,2026-09-10T08:07:00Z
AGT_40067,3539004,Enrico,Bailey,enrico.bailey79@kingfisher.com,A,AGY_7119,Kingfisher Brokerage,AGY_7002,WA,LIC-24689,NON_RESIDENT,ACTIVE,2024-07-06,2026-07-06,709-56-8361,2026-09-10T16:46:00Z
AGT_40067,3539004,Enrico,Bailey,enrico.bailey79@kingfisher.com,A,AGY_7119,Kingfisher Brokerage,AGY_7002,NY,LIC-55619,NON_RESIDENT,ACTIVE,2026-08-27,2028-08-27,709-56-8361,2026-09-10T16:46:00Z
AGT_40070,7864894,Kyleigh,Tremblay,kyleigh.tremblay95@lakeshore.com,A,AGY_7112,Lakeshore Risk Partners,AGY_7003,CO,LIC-72991,NON_RESIDENT,ACTIVE,2024-12-23,2026-12-23,873-94-1669,2026-09-10T12:25:00Z
AGT_40070,7864894,Kyleigh,Tremblay,kyleigh.tremblay95@lakeshore.com,A,AGY_7112,Lakeshore Risk Partners,AGY_7003,NC,LIC-15566,SURPLUS_LINES,ACTIVE,2026-05-22,2028-05-22,873-94-1669,2026-09-10T12:25:00Z
AGT_40071,1760543,Geovany,Konopelski,geovany.konopelski95@vantage.com,ACTIVE,AGY_7151,Vantage Hill Insurance,AGY_7002,IL,LIC-59854,RESIDENT,ACTIVE,2026-10-12,2028-10-12,829-18-1361,2026-09-10T07:56:00Z
AGT_40071,1760543,Geovany,Konopelski,geovany.konopelski95@vantage.com,ACTIVE,AGY_7151,Vantage Hill Insurance,AGY_7002,NY,LIC-29209,NON_RESIDENT,ACTIVE,2025-10-02,2027-10-02,829-18-1361,2026-09-10T07:56:00Z
AGT_40076,8483826,Cruz,Pollich,cruz.pollich82@coldspring.com,TERMINATED,AGY_7132,Coldspring Insurance Partners,AGY_7007,AZ,LIC-32893,RESIDENT,ACTIVE,2025-09-26,2027-09-26,489-56-9924,2026-09-10T09:14:00Z
AGT_40076,8483826,Cruz,Pollich,cruz.pollich82@coldspring.com,TERMINATED,AGY_7132,Coldspring Insurance Partners,AGY_7007,NC,LIC-80516,RESIDENT,ACTIVE,2024-04-07,2026-04-07,489-56-9924,2026-09-10T09:14:00Z
AGT_40078,6098042,Alivia,Brakus,alivia.brakus46@vantage.com,ACTIVE,AGY_7151,Vantage Hill Insurance,AGY_7002,NV,LIC-45219,RESIDENT,ACTIVE,2024-07-05,2026-07-05,130-65-3717,2026-09-10T16:46:00Z
AGT_40078,6098042,Alivia,Brakus,alivia.brakus46@vantage.com,ACTIVE,AGY_7151,Vantage Hill Insurance,AGY_7002,OH,LIC-91676,RESIDENT,ACTIVE,2025-04-25,2027-04-25,130-65-3717,2026-09-10T16:46:00Z
AGT_40081,1344549,Randall,Macejkovic,randall.macejkovic99@vantage.com,A,AGY_7151,Vantage Hill Insurance,AGY_7002,AZ,LIC-23927,RESIDENT,ACTIVE,2025-04-15,2027-04-15,283-48-2761,2026-09-10T17:13:00Z
AGT_40081,1344549,Randall,Macejkovic,randall.macejkovic99@vantage.com,A,AGY_7151,Vantage Hill Insurance,AGY_7002,PA,LIC-56235,RESIDENT,ACTIVE,2025-12-12,2027-12-12,283-48-2761,2026-09-10T17:13:00Z
AGT_40085,3752563,Lottie,Mayer,lottie.mayer98@pembroke.com,ACTIVE,AGY_7145,Pembroke Insurance,AGY_7004,NY,LIC-21270,NON_RESIDENT,ACTIVE,2025-08-18,2027-08-18,306-34-7274,2026-09-10T11:50:00Z
AGT_40085,3752563,Lottie,Mayer,lottie.mayer98@pembroke.com,ACTIVE,AGY_7145,Pembroke Insurance,AGY_7004,FL,LIC-66045,RESIDENT,ACTIVE,2026-05-10,2028-05-10,306-34-7274,2026-09-10T11:50:00Z
AGT_40090,8355988,Loyal,Medhurst,loyal.medhurst8@zephyr.com,active,AGY_7154,Zephyr Cove Insurance Partners,AGY_7005,CO,LIC-78660,RESIDENT,ACTIVE,2026-09-18,2028-09-18,616-81-8690,2026-09-10T10:49:00Z
AGT_40090,8355988,Loyal,Medhurst,loyal.medhurst8@zephyr.com,active,AGY_7154,Zephyr Cove Insurance Partners,AGY_7005,NY,LIC-42186,RESIDENT,ACTIVE,2026-05-02,2028-05-02,616-81-8690,2026-09-10T10:49:00Z
AGT_40091,3597124,Yazmin,Jacobs,yazmin.jacobs46@saltmarsh.com,ACTIVE,AGY_7148,Saltmarsh Insurance Services,AGY_7007,NC,LIC-95898,NON_RESIDENT,ACTIVE,2026-05-28,2028-05-28,238-11-8007,2026-09-10T17:25:00Z
AGT_40091,3597124,Yazmin,Jacobs,yazmin.jacobs46@saltmarsh.com,ACTIVE,AGY_7148,Saltmarsh Insurance Services,AGY_7007,CA,LIC-61715,RESIDENT,ACTIVE,2026-09-13,2028-09-13,238-11-8007,2026-09-10T17:25:00Z
AGT_40093,7236781,Cristina,Ondricka,cristina.ondricka86@cardinal.com,active,AGY_7102,Cardinal Underwriters,AGY_7001,CO,LIC-14321,SURPLUS_LINES,ACTIVE,2025-11-12,2027-11-12,349-62-9721,2026-09-10T08:35:00Z
AGT_40093,7236781,Cristina,Ondricka,cristina.ondricka86@cardinal.com,active,AGY_7102,Cardinal Underwriters,AGY_7001,AZ,LIC-93595,RESIDENT,ACTIVE,2025-03-02,2027-03-02,349-62-9721,2026-09-10T08:35:00Z
AGT_40094,4876531,Ginger,Ward,ginger.ward42@meridian.com,ACTIVE,AGY_7115,Meridian Bay Brokerage,AGY_7006,AZ,LIC-31789,RESIDENT,ACTIVE,2024-03-08,2026-03-08,684-87-7024,2026-09-10T07:15:00Z
AGT_40094,4876531,Ginger,Ward,ginger.ward42@meridian.com,ACTIVE,AGY_7115,Meridian Bay Brokerage,AGY_7006,CO,LIC-43216,RESIDENT,ACTIVE,2025-12-19,2027-12-19,684-87-7024,2026-09-10T07:15:00Z
